state,locality,postcode_range,situation,range_type,page,fetched_from,fetched_date,url_fetched_from
AL,Santa Luzia do Norte,57130-000 a 57139-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Santana do Ipanema,57500-000 a 57509-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Santana do Mundaú,57840-000 a 57859-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Satuba,57120-000 a 57129-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Senador Rui Palmeira,57515-000 a 57519-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,São Brás,57380-000 a 57389-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,São José da Laje,57860-000 a 57889-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,São José da Tapera,57445-000 a 57459-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,São Luís do Quitunde,57920-000 a 57924-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,São Miguel dos Campos,57240-001 a 57249-999,Codificado por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,São Miguel dos Campos,57240-001 a 57249-999,Codificada por logradouros,Exclusiva da sede urbana,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,São Miguel dos Milagres,57940-000 a 57944-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,São Sebastião,57275-000 a 57279-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Tanque D'Arca,57635-000 a 57639-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
